2026-08-31 23:00:21,780 | INFO | app.services.commande_service | Mise à jour du statut de la commande 3 de StatutCommande.CONFIRMEE à StatutCommande.CONFIRMEE
2026-08-31 23:05:04,101 | WARNING | app.services.commande_service | Transition de statut non autorisée pour la commande 3 : StatutCommande.CONFIRMEE → StatutCommande.BROUILLON
2026-08-31 23:05:36,663 | INFO | app.services.commande_service | Mise à jour du statut de la commande 3 de StatutCommande.CONFIRMEE à StatutCommande.EXPEDIEE
2026-09-01 18:24:27,764 | INFO | app.services.commande_service | Création d'une commande pour le client 3
2026-09-01 18:24:53,391 | INFO | app.services.ligne_commande_service | Ajout d'une ligne de commande à la commande 8
2026-09-01 18:25:27,327 | INFO | app.services.commande_service | Mise à jour du statut de la commande 8 de StatutCommande.BROUILLON à StatutCommande.CONFIRMEE
2026-09-01 22:19:04,132 | INFO | httpx2 | HTTP Request: POST http://testserver/clients "HTTP/1.1 307 Temporary Redirect"
2026-09-01 22:19:04,369 | INFO | app.services.client_service | Création d'un client avec l'email test.client@example.com
2026-09-01 22:19:04,405 | INFO | httpx2 | HTTP Request: POST http://testserver/clients/ "HTTP/1.1 200 OK"
2026-09-01 22:19:04,869 | INFO | httpx2 | HTTP Request: POST http://testserver/clients "HTTP/1.1 307 Temporary Redirect"
2026-09-01 22:19:04,946 | INFO | app.services.client_service | Création d'un client avec l'email duplicate@example.com
2026-09-01 22:19:04,955 | INFO | httpx2 | HTTP Request: POST http://testserver/clients/ "HTTP/1.1 200 OK"
2026-09-01 22:19:05,006 | INFO | httpx2 | HTTP Request: POST http://testserver/clients "HTTP/1.1 307 Temporary Redirect"
2026-09-01 22:19:05,028 | INFO | httpx2 | HTTP Request: POST http://testserver/clients/ "HTTP/1.1 401 Unauthorized"
2026-09-01 22:23:16,991 | INFO | httpx2 | HTTP Request: POST http://testserver/clients "HTTP/1.1 400 Bad Request"
2026-09-01 22:23:17,467 | INFO | httpx2 | HTTP Request: POST http://testserver/clients "HTTP/1.1 400 Bad Request"
2026-09-01 22:23:17,497 | INFO | httpx2 | HTTP Request: POST http://testserver/clients "HTTP/1.1 401 Unauthorized"
2026-09-01 22:28:53,478 | INFO | app.services.client_service | Création d'un client avec l'email test.client.2026@example.com
2026-09-01 22:28:53,507 | INFO | httpx2 | HTTP Request: POST http://testserver/clients "HTTP/1.1 201 Created"
